title,date,site_name,city,county,state,country,fqa_db_region,fqa_db_publication_year,fqa_db_description,custom_fqa_db_name,custom_fqa_db_description,practitioner,latitude,longitude,weather_notes,duration_notes,community_type_notes,other_notes,private_public,total_mean_c,native_mean_c,total_fqi,native_fqi,adjusted_fqi,c_value_zero,c_value_low,c_value_mid,c_value_high,native_tree_mean_c,native_shrub_mean_c,native_herbaceous_mean_c,total_species,native_species,non_native_species,mean_wetness,native_mean_wetness,tree,shrub,vine,forb,grass,sedge,rush,fern,bryophyte,annual,perennial,biennial,native_annual,native_perennial,native_biennial
2022 Seed Processing Event,2022-11-04,Deer Grove East,Palatine,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Susan Gorr,cook,Illinois,NA,NA,NA,NA,Public,6.4,6.4,50.4,50.4,64,3.2,11.3,32.3,53.2,NA,10,6.4,62,62,0,0.6,0.6,0,1,0,51,9,1,0,0,0,3,58,1,3,58,1
Lake Bluff,2022-11-03,368 Site,Evanston,Cook,IL,US,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Haley Lewis,NA,NA,NA,NA,NA,NA,Public,5.9,6.4,44.5,46.2,61.1,12.3,7,33.3,47.4,NA,9,6.3,57,52,5,0.9,0.9,0,2,1,52,2,0,0,0,0,4,52,1,2,50,0
Upland prairie buffer at Volo No. 1 dig,2022-11-02,Volo No. 1 2121-1 Dig,NA,DuPage,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,2.2,3.1,10.6,12.4,25.9,43.5,21.7,26.1,8.7,4,0,3.3,23,16,7,0.6,0.4,2,3,0,15,3,0,0,0,0,3,19,1,1,15,0
Volo No. 1 dig: W01 species inventory,2022-11-02,Volo No. 1 2121-1 Dig,NA,DuPage,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,1.9,3.5,8.7,11.6,25.3,47.6,28.6,19,4.8,3,3.5,3.6,21,11,10,-0.1,-0.7,1,4,1,12,3,0,0,0,0,2,17,2,1,10,0
Volo No.1 dig: W02 species inventory,2022-11-02,Volo No. 1 2121-1 Dig,NA,DuPage,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,1.3,2.7,3.2,4.7,19.1,50,33.3,16.7,0,NA,3.5,1,6,3,3,-0.2,-1,0,2,1,2,1,0,0,0,0,1,4,1,1,2,0
Volo No.1 dig: W03 species inventory,2022-11-02,Volo No. 1 2121-1 Dig,NA,DuPage,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,0.5,1.5,1.2,2.1,8.7,66.7,33.3,0,0,NA,2,1,6,2,4,-0.5,-1,0,2,0,2,2,0,0,0,0,1,5,0,1,1,0
ISW North Lawndale- Ogden Avenue- Wetland 1,2022-10-26,Ogden Avenue,Chicago,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,"W. Santelik, S. Skowronski, I. Van Wazer",41.862074,-87.698056,"Cloudy, high 40s",NA,NA,NA,Public,1.9,2.9,8.1,10,23.7,38.9,38.9,22.2,0,4.5,2,2.7,18,12,6,-0.8,-1,2,1,0,11,2,2,0,0,0,1,17,0,1,11,0
ISW North Lawndale- Ogden Avenue- Wetland 2,2022-10-26,Ogden Avenue,Chicago,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,"W. Santelik, S. Skowronski, I. Van Wazer",41.861499,-87.698806,"Cloudy, high 40s",NA,NA,NA,Public,2.3,3.1,7.6,8.8,26.4,36.4,36.4,27.3,0,0,NA,3.6,11,8,3,-0.8,-0.6,1,0,0,5,4,1,0,0,0,1,10,0,1,7,0
ISW North Lawndale- Ogden Avenue- Wetland 3,2022-10-26,Ogden Avenue,Chicago,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,"W. Santelik, S. Skowronski, I. Van Wazer",41.859766,-87.69869,"cloudy, high 40s",NA,NA,NA,Public,2.3,3,9.5,10.8,26.2,29.4,35.3,35.3,0,3,NA,3,17,13,4,-1.1,-1.5,3,1,2,10,1,0,0,0,0,4,13,0,4,9,0
Grassy Lake F. P. (Miller Road),2022-10-21,Grassy Lake Forest Pres,Lake Barrington,Lake,IL,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCFPD stewards and staff,NA,NA,NA,NA,NA,NA,Public,4.3,5.3,91.3,100.8,47.5,25.7,15.5,30.2,28.6,3.6,5.3,5.4,451,362,89,0.1,-0.1,26,21,8,304,46,40,0,6,0,52,381,18,36,319,7
